iter	Passed	Remaining
398	2013	3032
399	2013	3020
400	2014	3009
401	2015	2998
402	2016	2987
403	2019	2978
404	2021	2969
405	2022	2959
406	2023	2948
407	2024	2938
408	2026	2928
409	2029	2919
410	2030	2910
411	2032	2900
412	2034	2891
413	2036	2882
414	2037	2872
415	2039	2863
416	2041	2854
417	2042	2844
418	2044	2834
419	2045	2824
420	2046	2814
421	2048	2806
422	2050	2796
423	2051	2786
424	2052	2776
425	2053	2766
426	2054	2756
427	2055	2746
428	2056	2737
429	2057	2727
430	2058	2717
431	2059	2707
432	2060	2697
433	2061	2688
434	2063	2679
435	2064	2670
436	2065	2660
437	2066	2651
438	2067	2642
439	2070	2635
440	2071	2625
441	2072	2616
442	2073	2606
443	2073	2596
444	2074	2587
445	2075	2577
446	2076	2568
447	2077	2559
448	2078	2550
449	2078	2540
450	2079	2531
451	2080	2522
452	2080	2512
453	2081	2503
454	2082	2494
455	2083	2485
456	2084	2476
457	2085	2467
458	2086	2458
459	2086	2449
460	2087	2440
461	2088	2431
462	2088	2422
463	2089	2413
464	2090	2404
465	2091	2396
466	2092	2388
467	2093	2379
468	2094	2370
469	2094	2362
470	2095	2353
471	2096	2344
472	2096	2336
473	2097	2327
474	2098	2319
475	2099	2310
476	2100	2302
477	2101	2294
478	2102	2286
479	2102	2277
480	2103	2269
481	2104	2261
482	2104	2253
483	2105	2245
484	2107	2238
485	2108	2230
486	2109	2222
487	2110	2213
488	2111	2206
489	2111	2197
490	2112	2190
491	2113	2182
492	2114	2174
493	2115	2167
494	2116	2159
495	2117	2151
496	2118	2143
497	2118	2135
498	2119	2128
499	2120	2120
500	2121	2113
501	2122	2105
502	2124	2098
503	2124	2091
504	2125	2083
505	2126	2075
506	2126	2068
507	2127	2060
508	2128	2052
509	2128	2045
510	2130	2038
511	2130	2031
512	2131	2023
513	2132	2016
514	2133	2008
515	2133	2001
516	2134	1994
517	2135	1986
518	2135	1979
519	2136	1972
520	2137	1965
521	2138	1958
522	2139	1951
523	2140	1944
524	2140	1937
525	2141	1929
526	2142	1922
527	2143	1915
528	2144	1909
529	2145	1902
530	2146	1895
531	2146	1888
532	2147	1881
533	2148	1874
534	2149	1867
535	2149	1860
536	2150	1854
537	2151	1847
538	2152	1841
539	2153	1834
540	2154	1828
541	2155	1821
542	2156	1814
543	2157	1808
544	2157	1801
545	2158	1795
546	2159	1788
547	2161	1782
548	2162	1776
549	2163	1769
550	2163	1763
551	2164	1756
552	2165	1750
553	2166	1743
554	2167	1737
555	2168	1731
556	2169	1725
557	2170	1719
558	2171	1713
559	2172	1706
560	2173	1700
561	2174	1694
562	2175	1688
563	2177	1683
564	2178	1677
565	2179	1671
566	2180	1664
567	2181	1658
568	2182	1652
569	2183	1647
570	2186	1642
571	2191	1639
572	2192	1634
573	2195	1629
574	2197	1624
575	2198	1618
576	2199	1612
577	2200	1606
578	2201	1600
579	2202	1594
580	2203	1588
581	2204	1583
582	2205	1577
583	2205	1571
584	2207	1565
585	2207	1559
586	2208	1553
587	2209	1548
588	2209	1542
589	2210	1536
590	2212	1531
591	2214	1526
592	2216	1521
593	2222	1519
594	2227	1516
595	2233	1514
596	2245	1515
597	2255	1516
598	2258	1511
599	2259	1506
600	2261	1501
601	2264	1497
602	2266	1491
603	2268	1487
604	2271	1482
605	2273	1478
606	2275	1473
607	2279	1469
608	2283	1466
609	2292	1465
610	2297	1462
611	2303	1460
